6.9859e-06,6.8773e-06,6.6491e-06,6.2805e-06,5.7429e-06,5.0041e-06,4.0335e-06,2.8098e-06,1.329e-06,-3.8571e-07,-2.2774e-06,-4.2517e-06,-6.1798e-06,-7.9103e-06,-9.2878e-06,-1.0177e-05,-1.0484e-05,-1.0177e-05,-9.2878e-06,-7.9103e-06,-6.1798e-06,-4.2517e-06,-2.2774e-06,-3.8571e-07,1.329e-06,2.8098e-06,4.0335e-06,5.0041e-06,5.7429e-06,6.2805e-06,6.6491e-06,6.8773e-06,6.9859e-06
7.1484e-06,7.0582e-06,6.8653e-06,6.5454e-06,6.0643e-06,5.3812e-06,4.4535e-06,3.2453e-06,1.7367e-06,-6.3672e-08,-2.1071e-06,-4.2964e-06,-6.4855e-06,-8.4903e-06,-1.0112e-05,-1.117e-05,-1.1537e-05,-1.117e-05,-1.0112e-05,-8.4903e-06,-6.4855e-06,-4.2964e-06,-2.1071e-06,-6.3672e-08,1.7367e-06,3.2453e-06,4.4535e-06,5.3812e-06,6.0643e-06,6.5454e-06,6.8653e-06,7.0582e-06,7.1484e-06
7.4428e-06,7.3916e-06,7.2741e-06,7.0602e-06,6.7054e-06,6.1524e-06,5.335e-06,4.1859e-06,2.6488e-06,6.9609e-07,-1.6495e-06,-4.294e-06,-7.0597e-06,-9.6903e-06,-1.1883e-05,-1.3343e-05,-1.3857e-05,-1.3343e-05,-1.1883e-05,-9.6903e-06,-7.0597e-06,-4.294e-06,-1.6495e-06,6.9609e-07,2.6488e-06,4.1859e-06,5.335e-06,6.1524e-06,6.7054e-06,7.0602e-06,7.2741e-06,7.3916e-06,7.4428e-06
7.8048e-06,7.8166e-06,7.8226e-06,7.7869e-06,7.6527e-06,7.3413e-06,6.7525e-06,5.7689e-06,4.2693e-06,2.1526e-06,-6.248e-07,-4.0021e-06,-7.7703e-06,-1.1554e-05,-1.4843e-05,-1.7101e-05,-1.7906e-05,-1.7101e-05,-1.4843e-05,-1.1554e-05,-7.7703e-06,-4.0021e-06,-6.248e-07,2.1526e-06,4.2693e-06,5.7689e-06,6.7525e-06,7.3413e-06,7.6527e-06,7.7869e-06,7.8226e-06,7.8166e-06,7.8048e-06
8.1322e-06,8.2337e-06,8.419e-06,8.6494e-06,8.8602e-06,8.9532e-06,8.7894e-06,8.1851e-06,6.9189e-06,4.7573e-06,1.51e-06,-2.8784e-06,-8.2136e-06,-1.3956e-05,-1.9223e-05,-2.2972e-05,-2.4334e-05,-2.2972e-05,-1.9223e-05,-1.3956e-05,-8.2136e-06,-2.8784e-06,1.51e-06,4.7573e-06,6.9189e-06,8.1851e-06,8.7894e-06,8.9532e-06,8.8602e-06,8.6494e-06,8.419e-06,8.2337e-06,8.1322e-06
8.2822e-06,8.4993e-06,8.9199e-06,9.5124e-06,1.0217e-05,1.093e-05,1.1484e-05,1.1629e-05,1.1014e-05,9.199e-06,5.717e-06,2.2761e-07,-7.2289e-06,-1.5946e-05,-2.4436e-05,-3.0717e-05,-3.3044e-05,-3.0717e-05,-2.4436e-05,-1.5946e-05,-7.2289e-06,2.2761e-07,5.717e-06,9.199e-06,1.1014e-05,1.1629e-05,1.1484e-05,1.093e-05,1.0217e-05,9.5124e-06,8.9199e-06,8.4993e-06,8.2822e-06
8.0753e-06,8.4252e-06,9.123e-06,1.0159e-05,1.1503e-05,1.3078e-05,1.4732e-05,1.618e-05,1.6956e-05,1.637e-05,1.3546e-05,7.6412e-06,-1.6712e-06,-1.3583e-05,-2.5826e-05,-3.5156e-05,-3.8657e-05,-3.5156e-05,-2.5826e-05,-1.3583e-05,-1.6712e-06,7.6412e-06,1.3546e-05,1.637e-05,1.6956e-05,1.618e-05,1.4732e-05,1.3078e-05,1.1503e-05,1.0159e-05,9.123e-06,8.4252e-06,8.0753e-06
7.3108e-06,7.7913e-06,8.7707e-06,1.028e-05,1.2352e-05,1.4992e-05,1.8137e-05,2.1575e-05,2.4842e-05,2.7105e-05,2.716e-05,2.3755e-05,1.6365e-05,6.0464e-06,-4.5418e-06,-1.2314e-05,-1.5137e-05,-1.2314e-05,-4.5418e-06,6.0464e-06,1.6365e-05,2.3755e-05,2.716e-05,2.7105e-05,2.4842e-05,2.1575e-05,1.8137e-05,1.4992e-05,1.2352e-05,1.028e-05,8.7707e-06,7.7913e-06,7.3108e-06
5.7982e-06,6.3761e-06,7.5771e-06,9.4902e-06,1.2243e-05,1.5986e-05,2.0857e-05,2.6901e-05,3.3951e-05,4.1514e-05,4.8925e-05,5.6115e-05,6.4772e-05,7.8028e-05,9.6764e-05,0.00011523,0.00012316,0.00011523,9.6764e-05,7.8028e-05,6.4772e-05,5.6115e-05,4.8925e-05,4.1514e-05,3.3951e-05,2.6901e-05,2.0857e-05,1.5986e-05,1.2243e-05,9.4902e-06,7.5771e-06,6.3761e-06,5.7982e-06
3.4053e-06,4.0084e-06,5.2866e-06,7.3899e-06,1.0557e-05,1.5126e-05,2.1539e-05,3.0326e-05,4.2111e-05,5.7885e-05,8.0232e-05,0.00011608,0.00017867,0.00028105,0.00041631,0.00054089,0.00059255,0.00054089,0.00041631,0.00028105,0.00017867,0.00011608,8.0232e-05,5.7885e-05,4.2111e-05,3.0326e-05,2.1539e-05,1.5126e-05,1.0557e-05,7.3899e-06,5.2866e-06,4.0084e-06,3.4053e-06
