2.4619e-08,2.464e-08,2.461e-08,2.4382e-08,2.3742e-08,2.2413e-08,2.0075e-08,1.6403e-08,1.1127e-08,4.112e-09,-4.5547e-09,-1.4481e-08,-2.4938e-08,-3.4904e-08,-4.3201e-08,-4.8717e-08,-5.0653e-08,-4.8717e-08,-4.3201e-08,-3.4904e-08,-2.4938e-08,-1.4481e-08,-4.5547e-09,4.112e-09,1.1127e-08,1.6403e-08,2.0075e-08,2.2413e-08,2.3742e-08,2.4382e-08,2.461e-08,2.464e-08,2.4619e-08
2.4587e-08,2.4679e-08,2.479e-08,2.4773e-08,2.4406e-08,2.3394e-08,2.1381e-08,1.7985e-08,1.2857e-08,5.7691e-09,-3.2719e-09,-1.3913e-08,-2.5387e-08,-3.6533e-08,-4.5951e-08,-5.2277e-08,-5.4508e-08,-5.2277e-08,-4.5951e-08,-3.6533e-08,-2.5387e-08,-1.3913e-08,-3.2719e-09,5.7691e-09,1.2857e-08,1.7985e-08,2.1381e-08,2.3394e-08,2.4406e-08,2.4773e-08,2.479e-08,2.4679e-08,2.4587e-08
2.4454e-08,2.4687e-08,2.5082e-08,2.5493e-08,2.5688e-08,2.5343e-08,2.4036e-08,2.1271e-08,1.6532e-08,9.3855e-09,-3.5625e-10,-1.2453e-08,-2.6077e-08,-3.9779e-08,-5.1662e-08,-5.9784e-08,-6.2674e-08,-5.9784e-08,-5.1662e-08,-3.9779e-08,-2.6077e-08,-1.2453e-08,-3.5625e-10,9.3855e-09,1.6532e-08,2.1271e-08,2.4036e-08,2.5343e-08,2.5688e-08,2.5493e-08,2.5082e-08,2.4687e-08,2.4454e-08
2.4084e-08,2.4525e-08,2.5344e-08,2.6406e-08,2.7481e-08,2.8216e-08,2.8107e-08,2.6493e-08,2.2592e-08,1.5621e-08,5.0269e-09,-9.1876e-09,-2.6128e-08,-4.3865e-08,-5.9667e-08,-7.064e-08,-7.4573e-08,-7.064e-08,-5.9667e-08,-4.3865e-08,-2.6128e-08,-9.1876e-09,5.0269e-09,1.5621e-08,2.2592e-08,2.6493e-08,2.8107e-08,2.8216e-08,2.7481e-08,2.6406e-08,2.5344e-08,2.4525e-08,2.4084e-08
2.3276e-08,2.3983e-08,2.5354e-08,2.7287e-08,2.9581e-08,3.1883e-08,3.3622e-08,3.395e-08,3.174e-08,2.5735e-08,1.4939e-08,-7.576e-10,-1.9983e-08,-3.9865e-08,-5.6886e-08,-6.8145e-08,-7.2048e-08,-6.8145e-08,-5.6886e-08,-3.9865e-08,-1.9983e-08,-7.576e-10,1.4939e-08,2.5735e-08,3.174e-08,3.395e-08,3.3622e-08,3.1883e-08,2.9581e-08,2.7287e-08,2.5354e-08,2.3983e-08,2.3276e-08
2.1773e-08,2.2785e-08,2.4804e-08,2.7793e-08,3.1637e-08,3.6055e-08,4.0486e-08,4.3978e-08,4.5226e-08,4.3051e-08,3.7659e-08,3.2379e-08,3.4049e-08,4.9386e-08,7.7709e-08,1.0676e-07,1.1921e-07,1.0676e-07,7.7709e-08,4.9386e-08,3.4049e-08,3.2379e-08,3.7659e-08,4.3051e-08,4.5226e-08,4.3978e-08,4.0486e-08,3.6055e-08,3.1637e-08,2.7793e-08,2.4804e-08,2.2785e-08,2.1773e-08
1.9284e-08,2.0604e-08,2.3296e-08,2.7442e-08,3.3092e-08,4.0174e-08,4.8369e-08,5.7178e-08,6.6894e-08,8.2075e-08,1.1899e-07,2.1382e-07,4.1785e-07,7.6223e-07,1.2007e-06,1.5868e-06,1.7426e-06,1.5868e-06,1.2007e-06,7.6223e-07,4.1785e-07,2.1382e-07,1.1899e-07,8.2075e-08,6.6894e-08,5.7178e-08,4.8369e-08,4.0174e-08,3.3092e-08,2.7442e-08,2.3296e-08,2.0604e-08,1.9284e-08
1.552e-08,1.7093e-08,2.0372e-08,2.5608e-08,3.3133e-08,4.3326e-08,5.6834e-08,7.6342e-08,1.1423e-07,2.154e-07,5.0276e-07,1.2232e-06,2.7063e-06,5.13e-06,8.1536e-06,1.0785e-05,1.1841e-05,1.0785e-05,8.1536e-06,5.13e-06,2.7063e-06,1.2232e-06,5.0276e-07,2.154e-07,1.1423e-07,7.6342e-08,5.6834e-08,4.3326e-08,3.3133e-08,2.5608e-08,2.0372e-08,1.7093e-08,1.552e-08
1.0246e-08,1.1941e-08,1.5559e-08,2.1561e-08,3.0697e-08,4.4327e-08,6.6556e-08,1.1513e-07,2.6353e-07,7.6165e-07,2.2722e-06,6.1029e-06,1.398e-05,2.6812e-05,4.2779e-05,5.6651e-05,6.2215e-05,5.6651e-05,4.2779e-05,2.6812e-05,1.398e-05,6.1029e-06,2.2722e-06,7.6165e-07,2.6353e-07,1.1513e-07,6.6556e-08,4.4327e-08,3.0697e-08,2.1561e-08,1.5559e-08,1.1941e-08,1.0246e-08
3.3575e-09,4.9581e-09,8.4705e-09,1.4582e-08,2.4643e-08,4.2358e-08,8.3707e-08,2.2511e-07,7.8619e-07,2.8486e-06,9.2679e-06,2.5661e-05,5.9426e-05,0.00011444,0.00018287,0.00024232,0.00026616,0.00024232,0.00018287,0.00011444,5.9426e-05,2.5661e-05,9.2679e-06,2.8486e-06,7.8619e-07,2.2511e-07,8.3707e-08,4.2358e-08,2.4643e-08,1.4582e-08,8.4705e-09,4.9581e-09,3.3575e-09
